,s04-h1_block2_16631_19943_F,s04-h1_block2_165422_168667_F,s04-h1_block2_201366_204480_F,s04-h1_block2_421279_424187_F,s04-h1_block2_452807_455696_F,s04-h1_block2_476945_479833_F,s03-h1_block2_16631_19521_F,s03-h1_block2_165050_167910_F,s03-h1_block2_182994_185666_F,s03-h1_block2_403235_405878_F,s03-h1_block2_428045_430513_F,s03-h1_block2_462569_465330_F,s03-h1_block2_486649_489092_F,s03-h1_block2_510690_513394_F,s03-h1_block2_534540_537060_F,s03-h2_block2_16442_19230_F,s03-h2_block2_166668_169532_F,s03-h2_block2_211646_214137_F,s03-h2_block2_431830_434264_F,s03-h2_block2_456612_458955_F,s03-h2_block2_501596_504347_F,s03-h2_block2_535877_538637_F,s03-h2_block2_559724_562488_F,s03-h2_block2_583731_586096_F,s03-h2_block2_607818_610341_F,s04-h2_block2_16632_19521_F,s04-h2_block2_165253_168116_F,s04-h2_block2_192187_194880_F,s04-h2_block2_412271_414914_F,s04-h2_block2_437062_439534_F,s04-h2_block2_471568_474327_F,s04-h2_block2_495715_498080_F,s04-h2_block2_530115_532652_F,s04-h2_block2_553965_556420_F,s01-h1_block2_16736_19525_F,s01-h1_block2_167378_170242_F,s01-h1_block2_212356_214847_F,s01-h1_block2_432540_434974_F,s01-h1_block2_457322_459665_F,s01-h1_block2_502306_505057_F,s01-h1_block2_536587_539347_F,s01-h1_block2_560434_563198_F,s01-h1_block2_584441_586806_F,s01-h1_block2_608528_611051_F,s01-h2_block2_16736_19524_F,s01-h2_block2_166970_169834_F,s01-h2_block2_211942_214453_F,s01-h2_block2_236838_239156_F,s01-h2_block2_281797_284548_F,s01-h2_block2_316078_318838_F,s01-h2_block2_339925_342689_F,s01-h2_block2_363774_366297_F,s02-h1_block2_16152_19656_F,s02-h1_block2_179716_182964_F,s02-h1_block2_209384_212564_F,s02-h1_block2_336053_339185_F,s02-h2_block2_14586_19235_F,s02-h2_block2_205444_209711_F,s02-h2_block2_332135_336354_F,s02-h2_block2_356727_361056_F,s04-h1_block16_431228_436278_F,s04-h1_block16_462806_467865_F,s04-h1_block16_486826_491841_F
s01-h2_block2_16736_19524_F,91.31,75.41,78.53,82.64,82.95,83.04,98.05,80.87,84.93,86.71,86.77,85.15,87.25,84.23,81.73,100.0,80.9,82.55,83.87,84.67,84.99,85.14,85.11,84.31,81.78,98.08,80.95,84.48,86.75,86.79,85.2,87.78,82.05,80.93,99.58,80.9,82.55,83.87,84.67,84.99,85.14,85.11,84.31,81.78,100.0,80.9,82.27,85.07,84.99,85.14,85.11,81.78,87.95,75.22,77.44,79.11,69.65,59.19,61.53,59.83,39.77,39.48,34.83
s01-h2_block2_166970_169834_F,75.43,93.81,81.35,81.36,84.71,87.03,82.18,99.34,87.52,88.43,87.17,89.12,86.87,88.96,86.39,80.9,100.0,85.25,85.97,85.41,89.28,89.14,89.12,85.62,86.37,82.18,99.89,87.67,88.39,87.25,89.14,85.86,86.55,85.52,80.87,100.0,85.25,85.97,85.41,89.28,89.14,89.12,85.62,86.37,80.9,100.0,86.23,85.17,89.28,89.14,89.12,86.43,76.29,93.14,81.65,82.74,60.6,65.21,67.97,66.73,48.7,48.04,44.02
s01-h2_block2_211942_214453_F,77.2,80.13,84.82,86.83,88.85,91.52,83.97,85.62,91.51,94.94,92.83,93.67,92.34,94.58,96.96,82.27,86.23,94.42,98.38,95.14,93.84,93.67,93.63,95.44,96.98,83.95,86.24,91.6,94.9,92.88,93.68,91.25,97.2,96.06,82.21,86.23,94.42,98.38,95.14,93.84,93.67,93.63,95.44,96.98,82.27,86.23,100.0,94.75,93.84,93.67,93.63,97.01,78.87,80.04,83.83,89.7,60.55,66.41,72.28,68.42,47.91,47.37,45.67
s01-h2_block2_236838_239156_F,79.14,79.08,81.7,87.62,90.61,90.71,85.87,84.59,88.82,92.61,97.36,92.35,97.02,93.23,96.48,85.07,85.17,91.73,95.98,99.6,92.5,92.32,92.29,99.06,96.56,85.89,85.19,88.48,92.61,97.44,92.35,95.81,95.87,95.54,84.99,85.17,91.73,95.98,99.6,92.5,92.32,92.29,99.06,96.56,85.07,85.17,94.75,100.0,92.5,92.32,92.29,96.53,76.12,78.72,80.64,84.88,57.8,63.22,67.3,67.14,46.12,45.62,44.23
s01-h2_block2_281797_284548_F,79.86,83.51,87.23,88.0,93.7,97.04,86.63,89.09,93.19,95.84,94.72,99.76,94.29,99.07,95.6,84.99,89.28,90.75,92.75,92.88,100.0,99.82,99.76,93.25,95.65,86.61,89.35,93.51,95.82,94.8,99.74,93.11,96.48,94.7,84.98,89.28,90.75,92.75,92.88,100.0,99.82,99.76,93.25,95.65,84.99,89.28,93.84,92.5,100.0,99.82,99.76,95.65,82.0,83.28,86.19,91.27,63.69,68.21,73.65,74.26,47.19,46.7,42.28
s01-h2_block2_316078_318838_F,80.0,83.63,87.38,88.1,93.81,97.15,86.77,89.09,93.04,95.79,94.54,99.94,94.11,98.96,95.42,85.14,89.14,90.61,92.58,92.71,99.82,100.0,99.9,93.07,95.47,86.75,89.2,93.36,95.82,94.66,99.92,92.96,96.34,94.56,85.12,89.14,90.61,92.58,92.71,99.82,100.0,99.9,93.07,95.47,85.14,89.14,93.67,92.32,99.82,100.0,99.9,95.47,82.13,83.41,86.34,91.36,63.81,68.07,73.65,74.37,47.32,46.82,42.14
s01-h2_block2_339925_342689_F,79.97,83.65,87.35,88.1,93.81,97.18,86.74,89.07,92.98,95.76,94.51,99.9,94.08,98.99,95.49,85.11,89.12,90.55,92.55,92.67,99.76,99.9,100.0,93.04,95.54,86.72,89.19,93.3,95.79,94.62,99.89,92.93,96.3,94.56,85.09,89.12,90.55,92.55,92.67,99.76,99.9,100.0,93.04,95.54,85.11,89.12,93.63,92.29,99.76,99.9,100.0,95.54,82.19,83.43,86.4,91.39,63.88,68.1,73.72,74.47,47.34,46.84,42.12
s01-h2_block2_363774_366297_F,76.58,80.34,84.16,84.32,90.5,93.82,83.35,85.86,90.53,92.16,94.24,95.5,93.76,96.51,99.95,81.78,86.43,93.44,95.54,96.9,95.65,95.47,95.54,97.47,99.78,83.33,86.45,90.91,92.13,94.26,95.46,92.69,98.99,98.82,81.7,86.43,93.44,95.54,96.9,95.65,95.47,95.54,97.47,99.78,81.78,86.43,97.01,96.53,95.65,95.47,95.54,100.0,78.87,80.02,83.23,87.59,60.55,65.81,70.1,70.45,47.88,47.46,46.07
s02-h1_block2_16152_19656_F,96.54,79.49,84.88,81.75,82.99,83.71,89.81,76.24,81.24,80.61,78.12,82.15,77.7,81.36,78.82,87.95,76.29,78.85,77.8,76.48,82.0,82.13,82.19,76.71,78.84,89.81,76.34,81.51,80.61,78.1,82.15,76.55,79.03,77.94,87.76,76.29,78.85,77.8,76.48,82.0,82.13,82.19,76.71,78.84,87.95,76.29,78.87,76.12,82.0,82.13,82.19,78.87,100.0,79.4,84.0,85.03,68.17,56.42,58.69,57.13,39.05,37.05,30.51
s02-h1_block2_179716_182964_F,78.53,99.31,84.95,85.11,85.87,85.31,76.5,93.03,81.3,82.72,80.74,83.43,80.44,82.58,79.97,75.22,93.14,78.87,79.78,78.96,83.28,83.41,83.43,79.19,79.96,76.5,93.2,81.44,82.71,80.8,83.44,79.43,80.16,79.14,75.19,93.14,78.87,79.78,78.96,83.28,83.41,83.43,79.19,79.96,75.22,93.14,80.04,78.72,83.28,83.41,83.43,80.02,79.4,100.0,85.25,86.55,54.84,58.9,62.25,60.98,46.46,44.22,37.74
s02-h1_block2_209384_212564_F,81.71,85.35,98.56,89.04,88.18,87.99,79.11,81.41,91.54,85.33,82.71,86.37,82.29,85.71,83.19,77.44,81.65,88.66,82.66,81.01,86.19,86.34,86.4,81.3,83.2,79.09,81.7,91.87,85.3,82.67,86.32,81.27,83.36,82.39,77.4,81.65,88.66,82.66,81.01,86.19,86.34,86.4,81.3,83.2,77.44,81.65,83.83,80.64,86.19,86.34,86.4,83.23,84.0,85.25,100.0,92.35,58.1,69.04,65.22,63.3,44.39,42.27,36.01
s02-h1_block2_336053_339185_F,83.03,86.42,93.28,96.0,93.7,93.3,80.84,82.64,87.46,91.79,87.14,91.39,86.75,90.4,87.54,79.11,82.74,85.09,88.48,85.27,91.27,91.36,91.39,85.6,87.55,80.82,82.8,87.81,91.76,87.2,91.35,85.57,87.89,86.64,79.08,82.74,85.09,88.48,85.27,91.27,91.36,91.39,85.6,87.55,79.11,82.74,89.7,84.88,91.27,91.36,91.39,87.59,85.03,86.55,92.35,100.0,57.78,62.61,69.84,66.17,44.6,42.44,35.96
s02-h2_block2_14586_19235_F,64.74,55.02,57.22,54.52,58.52,61.69,71.51,60.55,62.92,62.29,59.8,63.83,59.38,63.05,60.5,69.65,60.6,60.53,59.48,58.17,63.69,63.81,63.88,58.39,60.52,71.51,60.57,63.19,62.29,59.78,63.83,58.23,60.71,59.62,69.46,60.6,60.53,59.48,58.17,63.69,63.81,63.88,58.39,60.52,69.65,60.6,60.55,57.8,63.69,63.81,63.88,60.55,68.17,54.84,58.1,57.78,100.0,84.23,84.42,84.03,51.1,50.62,45.94
s02-h2_block2_205444_209711_F,54.09,59.13,67.69,59.35,62.84,65.91,60.85,64.76,74.02,67.24,65.29,68.07,64.87,68.29,65.77,59.19,65.21,71.3,65.24,63.59,68.21,68.07,68.1,63.88,65.78,60.84,65.17,74.45,67.16,65.25,68.02,63.85,65.94,64.97,59.14,65.21,71.3,65.24,63.59,68.21,68.07,68.1,63.88,65.78,59.19,65.21,66.41,63.22,68.21,68.07,68.1,65.81,56.42,58.9,69.04,62.61,84.23,100.0,90.64,88.15,55.75,55.19,51.54
s02-h2_block2_332135_336354_F,56.49,62.26,64.23,66.36,68.47,71.56,63.25,67.86,69.97,74.4,69.54,73.65,69.16,72.9,70.05,61.53,67.97,67.59,71.06,67.69,73.65,73.65,73.72,68.02,70.07,63.24,67.94,70.32,74.37,69.64,73.6,67.97,70.28,69.06,61.49,67.97,67.59,71.06,67.69,73.65,73.65,73.72,68.02,70.07,61.53,67.97,72.28,67.3,73.65,73.65,73.72,70.1,58.69,62.25,65.22,69.84,84.42,90.64,100.0,91.35,55.66,55.13,50.62
s02-h2_block2_356727_361056_F,54.66,61.17,62.26,62.87,68.69,72.0,61.43,66.68,67.89,70.56,69.51,74.37,69.08,73.49,70.4,59.83,66.73,65.46,67.33,67.51,74.26,74.37,74.47,67.93,70.39,61.41,66.71,68.21,70.58,69.44,74.39,67.94,70.77,69.51,59.81,66.73,65.46,67.33,67.51,74.26,74.37,74.47,67.93,70.39,59.83,66.73,68.42,67.14,74.26,74.37,74.47,70.45,57.13,60.98,63.3,66.17,84.03,88.15,91.35,100.0,56.61,56.12,51.46
s04-h1_block16_431228_436278_F,37.61,46.54,43.93,42.57,46.15,48.7,41.02,48.57,46.46,46.33,45.93,47.37,45.53,47.1,47.83,39.77,48.7,47.64,47.24,46.33,47.19,47.32,47.34,46.5,47.86,41.02,48.68,46.55,46.38,45.94,47.32,44.62,47.91,47.08,39.71,48.7,47.64,47.24,46.33,47.19,47.32,47.34,46.5,47.86,39.77,48.7,47.91,46.12,47.19,47.32,47.34,47.88,39.05,46.46,44.39,44.6,51.1,55.75,55.66,56.61,100.0,95.57,87.76
s04-h1_block16_462806_467865_F,35.64,44.26,41.83,40.49,44.06,46.6,40.52,47.9,45.86,45.77,45.42,46.87,45.05,46.62,47.42,39.48,48.04,47.06,46.7,45.86,46.7,46.82,46.84,46.12,47.4,40.52,48.02,45.96,45.83,45.43,46.82,44.38,47.42,46.6,39.42,48.04,47.06,46.7,45.86,46.7,46.82,46.84,46.12,47.4,39.48,48.04,47.37,45.62,46.7,46.82,46.84,47.46,37.05,44.22,42.27,42.44,50.62,55.19,55.13,56.12,95.57,100.0,90.71
s04-h1_block16_486826_491841_F,29.05,37.87,35.58,34.06,37.56,40.11,35.8,43.42,42.12,41.29,41.93,42.14,41.59,43.13,46.12,34.83,44.02,45.02,44.68,44.46,42.28,42.14,42.12,44.71,46.04,35.8,43.98,42.28,41.29,41.95,42.11,40.92,45.61,47.03,34.75,44.02,45.02,44.68,44.46,42.28,42.14,42.12,44.71,46.04,34.83,44.02,45.67,44.23,42.28,42.14,42.12,46.07,30.51,37.74,36.01,35.96,45.94,51.54,50.62,51.46,87.76,90.71,100.0
