,s02-h2_block1_11103_14584_F,s02-h2_block1_202352_205442_F,s02-h2_block1_329100_332133_F,s02-h2_block1_353703_356725_F,s02-h2_block1_377192_380153_F,s02-h2_block1_583363_586584_F,s03-h1_block1_11397_14848_F,s03-h1_block1_178321_181376_F,s03-h1_block1_398623_401633_F,s03-h1_block1_423182_426216_F,s03-h1_block1_447307_450501_F,s03-h1_block1_457750_460964_F,s03-h1_block1_481791_484792_F,s03-h1_block1_505876_509070_F,s03-h1_block1_529729_532724_F,s03-h1_block1_553669_556787_F,s03-h2_block1_11105_13194_F,s03-h2_block1_177184_181580_F,s03-h2_block1_186228_188622_F,s03-h2_block1_188624_190562_F,s03-h2_block1_195311_197624_F,s03-h2_block1_197626_199663_F,s03-h2_block1_206958_208803_F,s03-h2_block1_427214_429013_F,s03-h2_block1_451741_453581_F,s03-h2_block1_475892_479072_F,s03-h2_block1_486334_489519_F,s03-h2_block1_496777_498763_F,s03-h2_block1_520620_523809_F,s03-h2_block1_531067_533044_F,s03-h2_block1_554909_556895_F,s03-h2_block1_578861_580726_F,s03-h2_block1_603008_604967_F,s03-h2_block1_626951_630070_F,s01-h1_block1_11396_13486_F,s01-h1_block1_177894_182290_F,s01-h1_block1_186938_189332_F,s01-h1_block1_189334_191272_F,s01-h1_block1_196021_198334_F,s01-h1_block1_198336_200373_F,s01-h1_block1_207668_209513_F,s01-h1_block1_427924_429723_F,s01-h1_block1_452451_454291_F,s01-h1_block1_476602_479782_F,s01-h1_block1_487044_490229_F,s01-h1_block1_497487_499473_F,s01-h1_block1_521330_524519_F,s01-h1_block1_531777_533754_F,s01-h1_block1_555619_557605_F,s01-h1_block1_579571_581436_F,s01-h1_block1_603718_605677_F,s01-h1_block1_627661_630780_F,s04-h1_block1_11396_13430_F,s04-h1_block1_175937_180333_F,s04-h1_block1_184981_187375_F,s04-h1_block1_187377_189408_F,s04-h1_block1_196708_198548_F,s04-h1_block1_416547_418340_F,s04-h1_block1_440506_443673_F,s04-h1_block1_447923_449861_F,s04-h1_block1_472119_474103_F,s04-h1_block1_496160_499186_F,s04-h2_block1_11397_14886_F,s04-h2_block1_187530_190592_F,s04-h2_block1_407658_410689_F,s04-h2_block1_432199_435237_F,s04-h2_block1_456308_459498_F,s04-h2_block1_466940_469961_F,s04-h2_block1_490875_493725_F,s04-h2_block1_514854_517875_F,s04-h2_block1_525291_528507_F,s04-h2_block1_549142_552064_F,s04-h2_block1_573096_576215_F,s02-h1_block1_10875_16150_F,s02-h1_block1_204595_209382_F,s02-h1_block1_331337_336051_F,s02-h1_block7_355338_359613_F,s02-h1_block7_562906_567558_F,s01-h2_block1_11399_13484_F,s01-h2_block1_177486_181882_F,s01-h2_block1_186530_188887_F,s01-h2_block1_188926_190864_F,s01-h2_block1_195613_197889_F,s01-h2_block1_197928_199965_F,s01-h2_block1_204659_207020_F,s01-h2_block1_207261_209105_F,s01-h2_block1_231975_233784_F,s01-h2_block1_256093_259273_F,s01-h2_block1_266535_269720_F,s01-h2_block1_276978_278954_F,s01-h2_block1_300821_304010_F,s01-h2_block1_311268_313235_F,s01-h2_block1_335110_337086_F,s01-h2_block1_358960_360929_F,s01-h2_block1_382901_386019_F
s03-h2_block1_496777_498763_F,74.66,75.03,72.87,80.82,73.97,76.07,74.97,75.56,73.11,82.13,84.38,84.59,81.75,84.5,86.45,72.32,89.06,57.32,45.53,87.35,46.54,87.83,90.16,88.15,97.28,84.46,84.77,100.0,84.36,99.89,99.49,97.81,98.81,72.11,89.07,57.32,45.53,87.35,46.54,87.83,90.16,88.15,97.28,84.46,84.77,100.0,84.36,99.89,99.49,97.81,98.81,72.11,88.58,57.25,45.53,87.91,90.22,88.24,84.18,98.72,99.11,73.26,74.49,75.31,72.85,82.11,84.29,82.15,81.39,86.31,84.64,87.5,72.13,52.34,53.93,52.06,57.69,58.31,89.05,57.32,45.99,87.35,47.0,87.83,45.94,90.17,96.92,84.46,84.77,99.88,84.36,99.76,99.39,99.09,72.14
s03-h2_block1_520620_523809_F,86.46,87.1,84.97,95.33,82.09,83.58,86.79,87.51,85.37,96.84,99.78,99.07,96.49,99.39,96.26,80.55,73.85,42.3,30.58,72.32,31.58,72.8,75.28,75.29,82.27,99.53,99.42,84.36,100.0,84.25,84.57,82.71,83.77,80.46,73.86,42.3,30.58,72.32,31.58,72.8,75.28,75.29,82.27,99.53,99.42,84.36,100.0,84.25,84.57,82.71,83.77,80.46,73.37,42.21,30.58,72.88,75.34,75.38,99.45,83.59,84.06,81.62,86.31,87.32,85.08,96.9,99.71,96.71,94.53,97.54,98.86,95.38,80.48,64.21,65.99,64.3,65.83,66.79,73.83,42.3,31.04,72.32,32.04,72.8,30.99,75.29,81.89,99.53,99.42,84.24,100.0,84.13,84.45,83.95,80.5
s03-h2_block1_531067_533044_F,74.59,74.98,72.8,80.93,73.86,75.96,74.9,75.51,73.05,82.24,84.26,84.5,81.86,84.39,86.51,72.21,89.0,57.27,45.64,87.3,46.65,87.78,90.11,88.09,97.39,84.35,84.66,99.89,84.25,100.0,99.38,97.92,98.92,72.0,89.01,57.27,45.64,87.3,46.65,87.78,90.11,88.09,97.39,84.35,84.66,99.89,84.25,100.0,99.38,97.92,98.92,72.0,88.51,57.2,45.64,87.86,90.17,88.18,84.29,98.83,98.99,73.15,74.43,75.26,72.79,82.22,84.25,82.26,81.5,86.28,84.52,87.38,72.02,52.28,53.88,52.0,57.58,58.2,88.99,57.27,46.1,87.3,47.11,87.78,46.05,90.12,97.03,84.35,84.66,99.76,84.25,99.88,99.28,99.08,72.03
s03-h2_block1_554909_556895_F,74.58,75.09,72.85,80.75,73.92,76.07,74.87,75.46,73.15,82.18,84.56,84.3,81.83,84.96,86.45,72.33,88.91,57.17,45.53,87.2,46.54,87.71,90.19,88.19,97.35,84.67,84.46,99.49,84.57,99.38,100.0,97.74,98.81,72.28,88.92,57.17,45.53,87.2,46.54,87.71,90.19,88.19,97.35,84.67,84.46,99.49,84.57,99.38,100.0,97.74,98.81,72.28,88.43,57.09,45.53,87.78,90.25,88.28,84.36,98.67,99.11,73.44,74.39,75.35,72.89,82.19,84.47,81.98,81.45,86.65,84.2,87.5,72.31,52.27,54.0,52.07,57.53,58.31,88.9,57.17,45.99,87.2,47.0,87.71,45.94,90.21,96.97,84.67,84.46,99.37,84.57,99.25,99.88,98.99,72.32
s03-h2_block1_578861_580726_F,73.56,74.0,72.02,81.94,72.69,74.73,73.85,74.47,72.26,83.57,82.64,82.57,83.14,82.75,85.92,70.84,88.15,56.36,47.04,86.39,48.04,86.89,89.36,87.3,99.01,82.8,82.88,97.81,82.71,97.92,97.74,100.0,98.25,70.64,88.17,56.36,47.04,86.39,48.04,86.89,89.36,87.3,99.01,82.8,82.88,97.81,82.71,97.92,97.74,100.0,98.25,70.64,87.67,56.28,47.04,86.96,89.42,87.38,82.92,98.99,97.99,71.8,73.37,74.31,72.0,83.56,82.65,82.81,83.23,84.75,82.55,86.76,70.64,51.25,52.9,51.3,56.31,56.97,88.14,56.36,47.5,86.39,48.5,86.89,47.45,89.37,98.62,82.8,82.88,97.94,82.71,98.05,97.86,98.71,70.65
s03-h2_block1_603008_604967_F,74.29,74.9,72.78,80.66,73.8,75.72,74.58,75.34,73.09,82.93,83.7,83.6,82.54,83.82,86.55,72.04,88.97,57.18,45.87,87.21,46.87,87.69,90.3,88.13,98.4,83.82,83.93,98.81,83.77,98.92,98.81,98.25,100.0,71.8,88.99,57.18,45.87,87.21,46.87,87.69,90.3,88.13,98.4,83.82,83.93,98.81,83.77,98.92,98.81,98.25,100.0,71.8,88.48,57.12,45.87,87.77,90.37,88.22,83.84,98.93,99.69,72.95,74.11,75.18,72.83,82.87,83.72,81.52,81.64,85.89,83.47,87.5,71.82,51.98,53.81,52.06,57.35,57.96,88.96,57.18,46.33,87.21,47.33,87.69,46.28,90.32,97.99,83.82,83.93,98.93,83.77,99.04,98.93,99.27,71.83
s03-h2_block1_626951_630070_F,73.52,79.65,77.53,76.92,96.15,87.0,73.87,79.76,77.81,78.14,80.47,80.17,77.79,80.42,78.87,99.69,66.79,44.23,31.5,74.97,32.45,73.81,71.7,71.22,70.33,80.29,80.26,72.11,80.46,72.0,72.28,70.64,71.8,100.0,66.8,44.23,31.5,74.97,32.45,73.81,71.7,71.22,70.33,80.29,80.26,72.11,80.46,72.0,72.28,70.64,71.8,100.0,66.9,44.2,31.5,73.81,71.67,71.21,80.15,71.45,71.98,98.84,73.4,79.79,77.56,78.22,80.42,77.84,76.51,79.47,80.12,78.22,99.89,54.73,61.53,60.07,79.91,70.33,66.76,44.23,31.91,74.97,32.91,73.81,32.96,71.7,69.93,80.29,80.26,72.08,80.46,71.97,72.24,71.87,99.95
s01-h1_block1_11396_13486_F,82.61,69.11,67.02,71.09,68.89,69.88,83.0,69.6,67.27,72.39,73.88,73.78,72.0,73.92,76.25,66.92,99.96,54.99,44.24,85.1,45.25,85.63,84.51,82.31,87.89,74.03,74.11,89.07,73.86,89.01,88.92,88.17,88.99,66.8,100.0,54.99,44.24,85.1,45.25,85.63,84.51,82.31,87.89,74.03,74.11,89.07,73.86,89.01,88.92,88.17,88.99,66.8,99.22,54.95,44.24,85.71,84.57,82.4,73.85,88.63,88.94,67.96,82.52,69.38,67.01,72.44,73.9,71.9,71.81,76.01,73.82,77.33,66.84,60.31,48.0,46.28,52.54,52.09,99.91,54.99,44.7,85.1,45.71,85.63,44.65,84.52,87.51,74.03,74.11,89.2,73.86,89.14,89.05,89.06,66.84
s01-h1_block1_177894_182290_F,37.68,40.57,37.78,39.14,42.65,41.14,38.02,40.91,38.01,40.5,42.29,42.0,40.12,42.18,44.41,44.25,55.02,100.0,73.95,68.91,72.95,68.48,56.1,53.19,56.05,42.46,42.35,57.32,42.3,57.27,57.17,56.36,57.18,44.23,54.99,100.0,73.95,68.91,72.95,68.48,56.1,53.19,56.05,42.46,42.35,57.32,42.3,57.27,57.17,56.36,57.18,44.23,55.64,99.9,73.96,68.4,56.03,53.14,42.22,56.82,57.1,43.8,37.55,40.85,37.75,40.56,42.22,40.15,39.8,44.28,42.05,45.42,44.19,20.29,23.65,21.33,26.36,23.36,55.07,100.0,73.54,68.91,72.54,68.48,73.5,56.08,55.65,42.46,42.35,57.44,42.3,57.39,57.29,57.23,44.23
s01-h1_block1_186938_189332_F,26.95,31.81,32.52,32.65,33.41,30.18,27.32,32.24,32.8,32.5,30.52,30.27,32.91,30.52,32.99,31.47,44.25,73.95,100.0,46.13,98.98,45.02,47.28,47.86,47.35,30.69,30.63,45.53,30.58,45.64,45.53,47.04,45.87,31.5,44.24,73.95,100.0,46.13,98.98,45.02,47.28,47.86,47.35,30.69,30.63,45.53,30.58,45.64,45.53,47.04,45.87,31.5,44.93,73.93,99.96,44.97,47.35,47.93,30.85,46.13,45.56,32.6,26.85,32.16,32.54,32.45,30.57,32.67,34.79,32.67,30.24,33.9,31.5,4.65,10.71,11.62,17.08,12.39,44.3,73.95,99.54,46.13,98.52,45.02,97.54,47.3,47.73,30.69,30.63,45.66,30.58,45.77,45.66,45.74,31.5
s01-h1_block1_189334_191272_F,67.78,70.8,68.0,69.17,73.44,71.57,68.13,71.14,68.24,70.53,72.31,72.03,70.16,72.21,74.44,75.03,85.12,68.91,46.13,100.0,47.13,98.77,86.33,83.42,86.08,72.48,72.37,87.35,72.32,87.3,87.2,86.39,87.21,74.97,85.1,68.91,46.13,100.0,47.13,98.77,86.33,83.42,86.08,72.48,72.37,87.35,72.32,87.3,87.2,86.39,87.21,74.97,85.74,68.83,46.13,98.84,86.26,83.37,72.24,86.85,87.13,74.61,67.66,71.08,67.98,70.59,72.24,70.18,69.83,74.29,72.08,75.45,74.93,50.75,54.34,51.93,57.15,53.78,85.17,68.91,46.59,100.0,47.59,98.77,48.53,86.31,85.68,72.48,72.37,87.47,72.32,87.42,87.32,87.26,74.98
s01-h1_block1_196021_198334_F,27.96,32.82,33.52,33.66,34.42,31.19,28.33,33.25,33.81,33.51,31.52,31.27,33.92,31.52,34.0,32.47,45.26,72.95,98.98,47.13,100.0,45.9,48.29,48.86,48.35,31.7,31.63,46.54,31.58,46.65,46.54,48.04,46.87,32.45,45.25,72.95,98.98,47.13,100.0,45.9,48.29,48.86,48.35,31.7,31.63,46.54,31.58,46.65,46.54,48.04,46.87,32.45,45.94,72.94,98.97,45.98,48.35,48.94,31.86,47.13,46.56,33.61,27.86,33.16,33.55,33.46,31.57,33.67,35.8,33.67,31.25,34.9,32.45,5.66,11.72,12.63,18.09,13.4,45.31,72.95,98.67,47.13,99.54,45.9,98.41,48.3,48.74,31.7,31.63,46.66,31.58,46.77,46.66,46.75,32.47
s01-h1_block1_198336_200373_F,68.32,70.14,67.35,69.65,72.21,71.71,68.66,70.48,67.58,71.05,72.79,72.54,70.65,72.72,74.94,73.83,85.66,68.48,45.02,98.77,45.9,100.0,85.67,82.76,86.58,72.96,72.85,87.83,72.8,87.78,87.71,86.89,87.69,73.81,85.63,68.48,45.02,98.77,45.9,100.0,85.67,82.76,86.58,72.96,72.85,87.83,72.8,87.78,87.71,86.89,87.69,73.81,86.28,68.39,45.02,99.93,85.61,82.71,72.73,87.35,87.62,73.37,68.19,70.42,67.32,71.09,72.73,70.69,70.33,74.78,72.59,75.95,73.77,51.29,53.69,51.27,55.92,53.92,85.71,68.48,45.36,98.77,46.36,100.0,47.45,85.66,86.18,72.96,72.85,87.96,72.8,87.91,87.83,87.76,73.81
s01-h1_block1_207668_209513_F,69.07,84.25,79.42,72.13,73.41,74.82,69.42,84.05,79.7,73.67,75.19,74.9,73.28,75.18,77.44,71.7,84.49,56.1,47.28,86.33,48.29,85.67,100.0,94.82,89.17,75.35,75.26,90.16,75.28,90.11,90.19,89.36,90.3,71.7,84.51,56.1,47.28,86.33,48.29,85.67,100.0,94.82,89.17,75.35,75.26,90.16,75.28,90.11,90.19,89.36,90.3,71.7,84.36,56.07,47.28,85.74,99.93,94.83,75.13,89.84,90.23,72.85,68.95,84.71,79.44,73.69,75.15,73.0,72.89,77.28,74.87,78.51,71.65,47.43,63.28,58.61,57.15,57.03,84.49,56.1,47.74,86.33,48.75,85.67,47.69,99.99,88.78,75.35,75.26,90.28,75.28,90.23,90.32,90.23,71.68
s01-h1_block1_427924_429723_F,69.42,81.81,84.36,72.23,73.13,74.52,69.79,81.73,84.79,73.82,75.23,74.94,73.44,75.23,77.71,71.31,82.29,53.19,47.86,83.42,48.86,82.76,94.82,100.0,86.94,75.4,75.31,88.15,75.29,88.09,88.19,87.3,88.13,71.22,82.31,53.19,47.86,83.42,48.86,82.76,94.82,100.0,86.94,75.4,75.31,88.15,75.29,88.09,88.19,87.3,88.13,71.22,82.18,53.19,47.86,82.83,94.77,99.91,75.15,88.0,88.32,72.38,69.32,82.14,84.52,73.83,75.19,73.0,73.2,77.33,75.0,78.79,71.21,47.83,60.89,63.03,56.74,56.73,82.26,53.19,48.32,83.42,49.32,82.76,48.27,94.8,86.58,75.4,75.31,88.08,75.29,88.02,88.13,88.24,71.24
s01-h1_block1_452451_454291_F,73.18,73.77,71.61,82.13,72.39,74.42,73.46,74.2,71.9,84.31,82.25,82.08,83.92,82.34,85.0,70.52,87.88,56.05,47.35,86.08,48.35,86.58,89.17,86.94,100.0,82.35,82.37,97.28,82.27,97.39,97.35,99.01,98.4,70.33,87.89,56.05,47.35,86.08,48.35,86.58,89.17,86.94,100.0,82.35,82.37,97.28,82.27,97.39,97.35,99.01,98.4,70.33,87.38,55.99,47.35,86.65,89.24,87.02,82.54,98.15,98.09,71.49,72.99,74.02,71.63,84.43,82.29,83.0,83.05,84.46,81.99,85.94,70.35,50.86,52.68,50.84,55.95,56.66,87.87,56.05,47.81,86.08,48.81,86.58,47.76,89.19,99.56,82.35,82.37,97.4,82.27,97.51,97.48,97.71,70.37
s01-h1_block1_476602_479782_F,86.41,86.99,84.89,95.21,81.99,83.83,86.74,87.41,85.28,96.68,99.64,98.92,96.36,99.32,96.48,80.35,74.02,42.46,30.69,72.48,31.7,72.96,75.35,75.4,82.35,100.0,99.54,84.46,99.53,84.35,84.67,82.8,83.82,80.29,74.03,42.46,30.69,72.48,31.7,72.96,75.35,75.4,82.35,100.0,99.54,84.46,99.53,84.35,84.67,82.8,83.82,80.29,73.52,42.37,30.69,73.04,75.41,75.49,99.49,83.65,84.11,81.44,86.26,87.18,85.0,96.78,99.6,96.63,94.74,97.78,98.82,95.6,80.31,64.14,65.88,64.18,65.73,66.74,74.01,42.46,31.15,72.48,32.16,72.96,31.1,75.36,81.96,100.0,99.54,84.34,99.53,84.23,84.55,84.05,80.32
s01-h1_block1_487044_490229_F,86.59,86.99,84.97,95.34,82.1,83.78,86.94,87.48,85.32,96.92,99.49,99.38,96.54,99.25,96.59,80.47,74.1,42.35,30.63,72.37,31.63,72.85,75.26,75.31,82.37,99.54,100.0,84.77,99.42,84.66,84.46,82.88,83.93,80.26,74.11,42.35,30.63,72.37,31.63,72.85,75.26,75.31,82.37,99.54,100.0,84.77,99.42,84.66,84.46,82.88,83.93,80.26,73.6,42.29,30.63,72.93,75.33,75.4,99.34,83.79,84.23,81.42,86.46,87.25,85.03,96.93,99.45,96.93,94.79,97.5,99.19,95.71,80.29,64.29,65.88,64.26,65.84,66.8,74.08,42.35,31.09,72.37,32.09,72.85,31.04,75.28,82.01,99.54,100.0,84.65,99.42,84.54,84.34,84.16,80.3
s01-h1_block1_497487_499473_F,74.66,75.03,72.87,80.82,73.97,76.07,74.97,75.56,73.11,82.13,84.38,84.59,81.75,84.5,86.45,72.32,89.06,57.32,45.53,87.35,46.54,87.83,90.16,88.15,97.28,84.46,84.77,100.0,84.36,99.89,99.49,97.81,98.81,72.11,89.07,57.32,45.53,87.35,46.54,87.83,90.16,88.15,97.28,84.46,84.77,100.0,84.36,99.89,99.49,97.81,98.81,72.11,88.58,57.25,45.53,87.91,90.22,88.24,84.18,98.72,99.11,73.26,74.49,75.31,72.85,82.11,84.29,82.15,81.39,86.31,84.64,87.5,72.13,52.34,53.93,52.06,57.69,58.31,89.05,57.32,45.99,87.35,47.0,87.83,45.94,90.17,96.92,84.46,84.77,99.88,84.36,99.76,99.39,99.09,72.14
s01-h1_block1_521330_524519_F,86.46,87.1,84.97,95.33,82.09,83.58,86.79,87.51,85.37,96.84,99.78,99.07,96.49,99.39,96.26,80.55,73.85,42.3,30.58,72.32,31.58,72.8,75.28,75.29,82.27,99.53,99.42,84.36,100.0,84.25,84.57,82.71,83.77,80.46,73.86,42.3,30.58,72.32,31.58,72.8,75.28,75.29,82.27,99.53,99.42,84.36,100.0,84.25,84.57,82.71,83.77,80.46,73.37,42.21,30.58,72.88,75.34,75.38,99.45,83.59,84.06,81.62,86.31,87.32,85.08,96.9,99.71,96.71,94.53,97.54,98.86,95.38,80.48,64.21,65.99,64.3,65.83,66.79,73.83,42.3,31.04,72.32,32.04,72.8,30.99,75.29,81.89,99.53,99.42,84.24,100.0,84.13,84.45,83.95,80.5
s01-h1_block1_531777_533754_F,74.59,74.98,72.8,80.93,73.86,75.96,74.9,75.51,73.05,82.24,84.26,84.5,81.86,84.39,86.51,72.21,89.0,57.27,45.64,87.3,46.65,87.78,90.11,88.09,97.39,84.35,84.66,99.89,84.25,100.0,99.38,97.92,98.92,72.0,89.01,57.27,45.64,87.3,46.65,87.78,90.11,88.09,97.39,84.35,84.66,99.89,84.25,100.0,99.38,97.92,98.92,72.0,88.51,57.2,45.64,87.86,90.17,88.18,84.29,98.83,98.99,73.15,74.43,75.26,72.79,82.22,84.25,82.26,81.5,86.28,84.52,87.38,72.02,52.28,53.88,52.0,57.58,58.2,88.99,57.27,46.1,87.3,47.11,87.78,46.05,90.12,97.03,84.35,84.66,99.76,84.25,99.88,99.28,99.08,72.03
s01-h1_block1_555619_557605_F,74.58,75.09,72.85,80.75,73.92,76.07,74.87,75.46,73.15,82.18,84.56,84.3,81.83,84.96,86.45,72.33,88.91,57.17,45.53,87.2,46.54,87.71,90.19,88.19,97.35,84.67,84.46,99.49,84.57,99.38,100.0,97.74,98.81,72.28,88.92,57.17,45.53,87.2,46.54,87.71,90.19,88.19,97.35,84.67,84.46,99.49,84.57,99.38,100.0,97.74,98.81,72.28,88.43,57.09,45.53,87.78,90.25,88.28,84.36,98.67,99.11,73.44,74.39,75.35,72.89,82.19,84.47,81.98,81.45,86.65,84.2,87.5,72.31,52.27,54.0,52.07,57.53,58.31,88.9,57.17,45.99,87.2,47.0,87.71,45.94,90.21,96.97,84.67,84.46,99.37,84.57,99.25,99.88,98.99,72.32
s01-h1_block1_579571_581436_F,73.56,74.0,72.02,81.94,72.69,74.73,73.85,74.47,72.26,83.57,82.64,82.57,83.14,82.75,85.92,70.84,88.15,56.36,47.04,86.39,48.04,86.89,89.36,87.3,99.01,82.8,82.88,97.81,82.71,97.92,97.74,100.0,98.25,70.64,88.17,56.36,47.04,86.39,48.04,86.89,89.36,87.3,99.01,82.8,82.88,97.81,82.71,97.92,97.74,100.0,98.25,70.64,87.67,56.28,47.04,86.96,89.42,87.38,82.92,98.99,97.99,71.8,73.37,74.31,72.0,83.56,82.65,82.81,83.23,84.75,82.55,86.76,70.64,51.25,52.9,51.3,56.31,56.97,88.14,56.36,47.5,86.39,48.5,86.89,47.45,89.37,98.62,82.8,82.88,97.94,82.71,98.05,97.86,98.71,70.65
s01-h1_block1_603718_605677_F,74.29,74.9,72.78,80.66,73.8,75.72,74.58,75.34,73.09,82.93,83.7,83.6,82.54,83.82,86.55,72.04,88.97,57.18,45.87,87.21,46.87,87.69,90.3,88.13,98.4,83.82,83.93,98.81,83.77,98.92,98.81,98.25,100.0,71.8,88.99,57.18,45.87,87.21,46.87,87.69,90.3,88.13,98.4,83.82,83.93,98.81,83.77,98.92,98.81,98.25,100.0,71.8,88.48,57.12,45.87,87.77,90.37,88.22,83.84,98.93,99.69,72.95,74.11,75.18,72.83,82.87,83.72,81.52,81.64,85.89,83.47,87.5,71.82,51.98,53.81,52.06,57.35,57.96,88.96,57.18,46.33,87.21,47.33,87.69,46.28,90.32,97.99,83.82,83.93,98.93,83.77,99.04,98.93,99.27,71.83
s01-h1_block1_627661_630780_F,73.52,79.65,77.53,76.92,96.15,87.0,73.87,79.76,77.81,78.14,80.47,80.17,77.79,80.42,78.87,99.69,66.79,44.23,31.5,74.97,32.45,73.81,71.7,71.22,70.33,80.29,80.26,72.11,80.46,72.0,72.28,70.64,71.8,100.0,66.8,44.23,31.5,74.97,32.45,73.81,71.7,71.22,70.33,80.29,80.26,72.11,80.46,72.0,72.28,70.64,71.8,100.0,66.9,44.2,31.5,73.81,71.67,71.21,80.15,71.45,71.98,98.84,73.4,79.79,77.56,78.22,80.42,77.84,76.51,79.47,80.12,78.22,99.89,54.73,61.53,60.07,79.91,70.33,66.76,44.23,31.91,74.97,32.91,73.81,32.96,71.7,69.93,80.29,80.26,72.08,80.46,71.97,72.24,71.87,99.95
s04-h1_block1_11396_13430_F,81.88,68.96,66.89,70.55,68.97,69.93,82.39,69.45,67.13,71.88,73.37,73.3,71.49,73.42,75.75,67.02,99.25,55.64,44.93,85.74,45.94,86.28,84.36,82.18,87.38,73.52,73.6,88.58,73.37,88.51,88.43,87.67,88.48,66.9,99.22,55.64,44.93,85.74,45.94,86.28,84.36,82.18,87.38,73.52,73.6,88.58,73.37,88.51,88.43,87.67,88.48,66.9,100.0,55.61,44.93,86.35,84.43,82.26,73.34,88.13,88.43,68.05,81.91,69.24,66.87,71.93,73.36,71.41,71.31,75.48,73.33,76.79,66.94,59.58,47.86,46.13,52.63,52.14,99.3,55.64,45.39,85.74,46.4,86.28,45.34,84.38,87.0,73.52,73.6,88.7,73.37,88.64,88.55,88.56,66.94
s04-h1_block1_175937_180333_F,37.64,40.53,37.78,39.12,42.59,41.14,38.0,40.99,38.01,40.44,42.2,41.94,40.06,42.1,44.35,44.23,54.98,99.9,73.93,68.83,72.94,68.39,56.07,53.19,55.99,42.37,42.29,57.25,42.21,57.2,57.09,56.28,57.12,44.2,54.95,99.9,73.93,68.83,72.94,68.39,56.07,53.19,55.99,42.37,42.29,57.25,42.21,57.2,57.09,56.28,57.12,44.2,55.61,100.0,73.95,68.32,56.01,53.14,42.14,56.76,57.04,43.78,37.53,40.82,37.75,40.5,42.14,40.09,39.74,44.2,41.99,45.36,44.16,20.25,23.62,21.29,26.31,23.36,55.03,99.9,73.52,68.83,72.53,68.39,73.49,56.06,55.59,42.37,42.29,57.38,42.21,57.33,57.22,57.15,44.2
s04-h1_block1_184981_187375_F,26.95,31.81,32.52,32.65,33.41,30.18,27.32,32.24,32.8,32.5,30.52,30.27,32.91,30.52,32.99,31.47,44.25,73.96,99.96,46.13,98.97,45.02,47.28,47.86,47.35,30.69,30.63,45.53,30.58,45.64,45.53,47.04,45.87,31.5,44.24,73.96,99.96,46.13,98.97,45.02,47.28,47.86,47.35,30.69,30.63,45.53,30.58,45.64,45.53,47.04,45.87,31.5,44.93,73.95,100.0,44.97,47.35,47.93,30.85,46.13,45.56,32.6,26.85,32.16,32.54,32.45,30.57,32.67,34.79,32.67,30.24,33.9,31.5,4.65,10.71,11.62,17.08,12.39,44.3,73.96,99.5,46.13,98.51,45.02,97.53,47.3,47.73,30.69,30.63,45.66,30.58,45.77,45.66,45.74,31.5
s04-h1_block1_187377_189408_F,68.39,70.22,67.42,69.72,72.28,71.78,68.74,70.55,67.66,71.12,72.87,72.62,70.73,72.79,75.02,73.87,85.73,68.4,44.97,98.84,45.98,99.93,85.74,82.83,86.65,73.04,72.93,87.91,72.88,87.86,87.78,86.96,87.77,73.81,85.71,68.4,44.97,98.84,45.98,99.93,85.74,82.83,86.65,73.04,72.93,87.91,72.88,87.86,87.78,86.96,87.77,73.81,86.35,68.32,44.97,100.0,85.68,82.78,72.8,87.42,87.69,73.45,68.27,70.49,67.4,71.16,72.8,70.76,70.4,74.85,72.67,76.02,73.77,51.36,53.76,51.35,56.0,54.0,85.78,68.4,45.43,98.84,46.44,99.93,47.37,85.73,86.25,73.04,72.93,88.03,72.88,87.98,87.91,87.83,73.82
s04-h1_block1_196708_198548_F,69.14,84.33,79.44,72.19,73.39,74.8,69.48,84.13,79.73,73.74,75.25,74.97,73.34,75.24,77.5,71.67,84.55,56.03,47.35,86.26,48.35,85.61,99.93,94.77,89.24,75.41,75.33,90.22,75.34,90.17,90.25,89.42,90.37,71.67,84.57,56.03,47.35,86.26,48.35,85.61,99.93,94.77,89.24,75.41,75.33,90.22,75.34,90.17,90.25,89.42,90.37,71.67,84.43,56.01,47.35,85.68,100.0,94.85,75.19,89.91,90.29,72.83,69.01,84.79,79.47,73.75,75.21,73.06,72.95,77.34,74.93,78.57,71.62,47.37,63.23,58.56,57.13,57.02,84.55,56.03,47.81,86.26,48.81,85.61,47.76,99.94,88.84,75.41,75.33,90.34,75.34,90.29,90.38,90.29,71.66
s04-h1_block1_416547_418340_F,69.51,81.9,84.45,72.32,73.11,74.49,69.88,81.81,84.87,73.91,75.31,75.03,73.52,75.31,77.8,71.3,82.37,53.14,47.93,83.37,48.94,82.71,94.83,99.91,87.02,75.49,75.4,88.24,75.38,88.18,88.28,87.38,88.22,71.21,82.4,53.14,47.93,83.37,48.94,82.71,94.83,99.91,87.02,75.49,75.4,88.24,75.38,88.18,88.28,87.38,88.22,71.21,82.26,53.14,47.93,82.78,94.85,100.0,75.24,88.09,88.4,72.37,69.41,82.22,84.61,73.92,75.28,73.09,73.29,77.41,75.09,78.88,71.2,47.78,60.85,62.98,56.73,56.71,82.35,53.14,48.39,83.37,49.4,82.71,48.34,94.84,86.66,75.49,75.4,88.17,75.38,88.1,88.22,88.33,71.22
